timestamp,Starboard Thermal Radiator Rotating Joint (TRRJ) Position [°],Loop A (Stbd) Pump Flowrate [kg/hr],Loop A (Stbd) PM Out Press [kPa],Loop A (Stbd) PM Out Temp [°C]
1751600520,24.7998,3371.6665,1943.16321,3.63913
1751600580,24.7998,3385.11353,1943.16321,3.63913
1751600640,24.79431,3358.21924,1941.05066,3.57656
1751600700,24.7998,3371.6665,1941.05066,3.57656
1751600760,24.7998,3371.6665,1938.93799,3.51399
1751600820,24.7998,3385.11353,1936.82544,3.57656
1751600880,24.78881,3371.6665,1936.82544,3.51399
1751600940,24.7998,3371.6665,1936.82544,3.57656
1751601000,24.7998,3371.6665,1934.71289,3.57656
1751601060,24.78881,3371.6665,1934.71289,3.63913
1751601120,24.7998,3371.6665,1932.60034,3.57656
1751601180,24.7998,3371.6665,1932.60034,3.51399
1751601240,24.7998,3358.21924,1928.37524,3.57656
1751601300,24.7998,3358.21924,1930.48779,3.57656
1751601360,24.78881,3358.21924,1928.37524,3.51399
1751601420,24.7998,3358.21924,1928.37524,3.57656
1751601480,24.78881,3371.6665,1928.37524,3.57656
1751601540,24.79431,3371.6665,1926.2627,3.57656
1751601600,24.7998,3371.6665,1926.2627,3.63913
1751601660,24.7998,3371.6665,1926.2627,3.63913
1751601720,24.79431,3371.6665,1924.15015,3.63913
1751601780,24.78881,3358.21924,1924.15015,3.63913
1751601840,24.7998,3371.6665,1924.15015,3.63913
1751601900,24.7998,3385.11353,1924.15015,3.63913
1751601960,24.7998,3371.6665,1924.15015,3.63913
1751602020,24.79431,3358.21924,1924.15015,3.57656
1751602080,24.7998,3371.6665,1924.15015,3.51399
1751602140,24.7998,3358.21924,1924.15015,3.51399
1751602200,24.7998,3371.6665,1924.15015,3.57656
1751602260,24.7998,3358.21924,1924.15015,3.57656
1751602320,24.7998,3371.6665,1924.15015,3.63913
1751602380,24.7998,3371.6665,1924.15015,3.63913
1751602440,24.7998,3371.6665,1926.2627,3.63913
1751602500,24.7998,3371.6665,1926.2627,3.63913
1751602560,24.7998,3385.11353,1926.2627,3.63913
1751602620,24.7998,3371.6665,1928.37524,3.63913
1751602680,24.7998,3371.6665,1928.37524,3.63913
1751602740,24.7998,3358.21924,1930.48779,3.7017
1751602800,24.7998,3344.77222,1930.48779,3.7017
1751602860,24.7998,3344.77222,1930.48779,3.7017
1751602920,24.7998,3344.77222,1930.48779,3.7017
1751602980,24.7998,3344.77222,1930.48779,3.7017
1751603040,24.7998,3344.77222,1930.48779,3.7017
1751603100,24.7998,3344.77222,1930.48779,3.7017
1751603160,24.7998,3344.77222,1930.48779,3.7017
1751603220,24.7998,3344.77222,1930.48779,3.7017
1751603280,24.7998,3344.77222,1930.48779,3.7017
1751603340,24.7998,3344.77222,1930.48779,3.7017
1751603400,24.7998,3344.77222,1930.48779,3.7017
1751603460,24.7998,3344.77222,1930.48779,3.7017
1751603520,24.7998,3344.77222,1930.48779,3.7017
1751603580,24.7998,3344.77222,1930.48779,3.7017
1751603640,24.7998,3344.77222,1930.48779,3.7017
1751603700,24.7998,3344.77222,1930.48779,3.7017
1751603760,24.7998,3344.77222,1930.48779,3.7017
1751603820,24.7998,3344.77222,1930.48779,3.7017
1751603880,24.7998,3385.11353,1947.38831,4.01456
1751603940,24.7998,3344.77222,1945.27576,3.88942
1751604000,24.78881,3385.11353,1945.27576,3.95199
