timestamp,SSRMS SR Measured Joint Position [°],SSRMS SY Measured Joint Position [°],SSRMS SP Measured Joint Position [°],SSRMS EP Measured Joint Position [°],SSRMS WP Measured Joint Position [°],SSRMS WY Measured Joint Position [°],SSRMS WR Measured Joint Position [°]
1751790240,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790300,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790360,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790420,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790480,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790540,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790600,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790660,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790720,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790780,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790840,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790900,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751790960,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791020,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791080,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791140,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791200,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791260,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791320,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791380,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791440,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791500,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791560,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791620,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791680,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791740,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791800,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791860,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791920,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751791980,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792040,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792100,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792160,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792220,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792280,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792340,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792400,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792460,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792520,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792580,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792640,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792700,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792760,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792820,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792880,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751792940,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793000,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793060,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793120,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793180,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793240,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793300,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793360,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793420,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793480,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793540,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
1751793600,1.49242,154.99415,-202.00398,140.00192,189.99524,-84.99782,-200.00137
